word,count
типа,1
типов,2
типы,1
товаров.,1
трудно,1
удобен,1
удобно,1
удобный,1
удобными,2
удовлетворяет,1
улучшенное,1
улучшить,1
уменьшить,1
унифицированных,1
упростить,2
условий,1
установленные,1
устройств,1
устройства,1
"устройства,",2
устройства.,2
устройствам,1
устройствами,1
"устройствами,",1
устройство,4
"устройство,",2
ухом,1
ухом.,1
участник,1
фильмов.,1
фильмом,1
фоновые,1
форм-факторов.,1
функцией,1
функции,1
функций,1
"функциональности,",1
функциональность:,1
функцию,2
хаб.,1
характеристик,1
характеристиками,1
хорошей,1
центральный,1
цены,2
частного,1
частотный,1
человеческой,1
чистый,1
чувствительность,1
широконаправленным,1
шум,1
шумоподавление.,1
шумоподавления,1
"шумоподавления,",1
эхо-,1
эхоподавления.,1
—,2
